,word,mean,syn
100,abroad,"["": beyond the boundaries of one's country : in or to a foreign country"", ': over a wide area : widely', "": away from one's home"", ': in wide circulation : about', ': wide of the mark : astray', ': over a wide area', ': in the open : outdoors', ': in or to a foreign country', ': known to many people']", 
101,anger,"[': a strong feeling of being upset or annoyed because of something wrong or bad : the feeling that makes someone want to hurt other people, to shout, etc. : the feeling of being angry', ': a strong feeling of displeasure and usually of antagonism (see antagonism sense 1b)', ': a threatening or violent appearance or state : rage sense 2', ': to make (someone) angry', ': to become angry', ': to make strongly displeased : make angry', ': a strong feeling of displeasure or annoyance and often of active opposition to an insult, injury, or injustice']","['angriness', 'birse', 'choler', 'furor', 'fury', 'indignation', 'irateness', 'ire', 'lividity', 'lividness', 'mad', 'madness', 'mood', 'outrage', 'rage', 'spleen', 'wrath', 'wrathfulness']"
102,bride,"[': a woman just married or about to be married', ': a woman who has just married or is about to be married', ': a woman just married or about to be married']", 
103,brief,"[': lasting only a short period of time', ': using only a few words', ': covering less of the body than is usual', ': short in duration, extent, or length', ': concise', ': curt, abrupt', ': an official letter or mandate (see mandate entry 1 sense 1)', ': a papal letter less formal than a bull', ': a specific instruction or responsibility', ': a concise article (as in a newspaper)', ': synopsis, summary', "": a concise statement of a client's case made out for the instruction of an attorney usually by a law clerk"", ': an outline of an argument', ': a formal written presentation of an argument that sets forth the main points with supporting precedents and evidence ', ': short snug pants or underpants', ': in a few words : briefly', ': to make an abstract or abridgment of', ': to give final precise instructions to', ': to coach thoroughly in advance', ': to give essential information to', ': to discuss (something, such as a military operation) in a briefing', ': not very long : short', ': to give information or instructions to', "": a concise statement of a client's case written for the instruction of an attorney usually by a law clerk"", ': a formal written presentation of an argument that sets forth the main points with supporting precedents and evidence', ': to write a brief concerning (a motion or question of law)']","['aphoristic', 'apothegmatic', 'capsule', 'compact', 'compendious', 'concise', 'crisp', 'curt', 'elliptical', 'elliptic', 'epigrammatic', 'laconic', 'monosyllabic', 'pithy', 'sententious', 'succinct', 'summary', 'telegraphic', 'terse', 'thumbnail']"
104,chase,"[': the hunting of wild animals', ': the act of chasing : pursuit', ': an earnest or frenzied seeking after something desired', ': something pursued : quarry', ': a tract of unenclosed land used as a game preserve', ': steeplechase sense 1', ': a sequence (as in a movie) in which the characters pursue one another', ': to follow rapidly : pursue', ': hunt', ': to follow regularly or persistently with the intention of attracting or alluring', ': harass', ': to seek out', ': to cause to depart or flee : drive', ': to cause the removal of (a baseball pitcher) by a batting rally', ': to swing at (a baseball pitched out of the strike zone)', ': to chase an animal, person, or thing', ': rush, hasten', ': to ornament (metal) by indenting with a hammer and tools without a cutting edge', ': to make by such indentation', ': to set with gems', ': groove, indent', ': to cut (a thread) with a chaser', ': groove, furrow', ': the bore of a cannon', ': trench', ': a channel (as in a wall) for something to lie in or pass through', ': a rectangular steel or iron frame in which letterpress matter is locked (as for printing)', 'Mary Ellen 1887–1973 American educator and author', ' Portland 1808–1873 American statesman; chief justice U.S. Supreme Court (1864–73)', ': the act of following quickly in order to capture or catch up with : pursuit', ': to follow quickly in order to catch up with or capture', ': to drive away or out']","['prey', 'quarry']"
105,disappoint,"[': to fail to meet the expectation or hope of : frustrate', ': to fail to meet a hope or expectation : to cause disappointment', ': to make (someone) unhappy by not being as good as expected or by not doing something that was hoped for or expected', ': to fail to satisfy the hope or expectation of']","['cheat', 'dissatisfy', 'fail', 'let down']"
106,dive,"[': to plunge into water intentionally and especially headfirst', ': to execute a dive (see dive entry 2 sense 1a(1)) ', ': submerge', ': to come or drop down precipitously : plunge', "": to plunge one's hand into something"", ': to descend in a dive', ': to plunge into some matter or activity', ': to plunge or dash for some place', ': to lunge especially in order to seize something ', ': to thrust into something', ': to cause to dive', ': the act or an instance of diving: such as', ': a plunge into water executed in a prescribed manner', ': a submerging of a submarine', ': a steep descent of an airplane at greater than the maximum speed of horizontal flight', ': a sharp decline', ': a shabby and disreputable establishment (such as a bar or nightclub)', ': a faked knockout', ': an offensive (see offensive entry 1 sense 1c) play in which the ballcarrier plunges into the line (see line entry 1 sense 7f(2)) for short yardage', ': to jump into water with your arms and head going in first', ': to swim underwater usually while using special equipment to help you breathe', ': to go underwater or down to a deeper level underwater', ': a jump into water with your arms and head going in first', ': an act of swimming underwater usually while using special equipment (such as a snorkel or air tank) to help you breathe', ': a usually steep downward movement of a submarine, airplane, bird, etc.', ': to plunge into water headfirst', ': to swim underwater especially while using special equipment', ': submerge sense 1', ': to fall fast', ': to descend in an airplane at a steep angle', ': to move forward suddenly into or at something', ': an act of plunging headfirst into water', ': an act of swimming underwater especially while using special equipment', ': an act of submerging a submarine', ': a quick drop (as of prices)', ': a sudden movement forward into or at something']","['pitch', 'plunge', 'sound']"
107,exchange,"[': the act of giving or taking one thing in return for another : trade', ': the act or process of substituting one thing for another', ': reciprocal giving and receiving', ': something offered, given, or received in an exchange', ': funds payable currently at a distant point either in a foreign currency or in domestic currency', ': interchange or conversion of the money of two countries or of current and uncurrent money with allowance for difference in value', ': exchange rate', ': the amount of the difference in value between two currencies or between values of a particular currency at two places', ': instruments (such as checks or bills of exchange) presented in a clearinghouse for settlement', ': a place where things or services are exchanged: such as', ': an organized market or center for trading in securities or commodities', ': a store or shop specializing in merchandise usually of a particular type', ': a cooperative store or society', ': a central office in which telephone lines are connected to permit communication', ': as a substitute', ': to part with, give, or transfer in consideration of something received as an equivalent', ': to have replaced by other merchandise', ': to part with for a substitute', ': to give and receive reciprocally', ': to pass or become received in exchange', ': to engage in an exchange', ': an occurrence in which people give things of similar value to each other : the act of giving or taking one thing in return for another thing', ': an occurrence in which people direct something at each other', ': an occurrence in which people give information to each other', ': to give something and receive something in return', ': to direct (words, looks, etc.) at each other', ': to return (a product) to a store and have it replaced by another product : to trade (something that has been purchased) for something else', ': an act of giving or taking of one thing in return for another : trade', ': a place where goods or services are exchanged', ': the act of giving and receiving between two groups', ': to give or take one thing in return for another : trade, swap', ': a giving of something of value (as real property) in return for something of equal value (as money or property of a like kind)', ': a giving of something of value in return for something of equal value except money  — compare sale', ': an organized market or center for trading in securities or commodities']","['back-and-forth', 'barter', 'commutation', 'dicker', 'quid pro quo', 'swap', 'trade', 'trade-off', 'truck']"
108,favor,"[': a kind or helpful act that you do for someone', ': approval, support, or popularity', ': preference for one person, group, etc., over another', ': friendly regard shown toward another especially by a superior', ': approving consideration or attention : approbation', ': partiality', ': leniency', ': permission', ': popularity', ': appearance', ': face', ': a facial feature', ': gracious kindness', ': an act of such kindness ', ': aid, assistance', "": effort in one's behalf or interest : attention"", ': a token of love (such as a ribbon) usually worn conspicuously', ': a small gift or decorative item given out at a party', ': badge', ': a special privilege or right granted or conceded', ': sexual privileges', ': letter', ': behalf, interest', ': in accord or sympathy with', ': to the benefit of : in support of', ': to the order of', ': in order to choose : out of preference for', "": in one's good graces"", "": to one's advantage"", ': unpopular, disliked', ': to regard or treat with favor', ': to do a kindness for : oblige', ': endow', ': to treat gently or carefully', ': to show partiality toward : prefer', ': to give support or confirmation to : sustain', ': to afford advantages for success to : facilitate', ': to bear a resemblance to', ': an act of kindness', ': approval sense 1, liking', ': a preference for one side over another', ': a small gift or decorative item', ': wanting or approving of', ': in support of', ': to prefer especially unfairly', ': to approve of', ': to present with', ': to make possible or easier', ': to look like', ': bias', ': benefit', ': to the benefit of', "": to one's benefit""]","['benevolence', 'boon', 'courtesy', 'grace', 'indulgence', 'kindness', 'mercy', 'service', 'turn']"
109,fee,"[': an estate in land held in feudal law from a lord on condition of homage and service', ': a piece of land so held', ': an inherited or heritable estate in land', ': a fixed charge', ': a sum paid or charged for a service', ': in absolute and legal possession', ': hire', ': tip entry 9 sense 1', ': an amount of money that must be paid', ': an amount that is paid for work done by a doctor, lawyer, etc.', ': an amount of money that must be paid', ': a charge for services', ': an inheritable freehold estate in real property', ': fee simple  — compare leasehold, life estate at estate', ': a fee granted with no restrictions or limitations on alienability : fee simple absolute at fee simple', ': a fee that is subject to a condition: as', ': fee simple conditional at fee simple', ': fee simple on condition subsequent at fee simple', ': a fee that is subject to terminating or being terminated', ': a defeasible fee that terminates automatically upon the occurrence of a specified event : fee simple determinable at fee simple', ': a fee simple absolute that is granted by a patent from the U.S. government', ': a patent that grants a fee simple absolute ', "": a fee which is granted to an individual and to that individual's descendants, which is subject to a reversion or a remainder if a tenant in tail dies with no lineal descendants, and which is not freely alienable  — see also entail entry 1, De Donis Conditionalibus  — compare fee simple conditional at fee simple"", ': a fixed amount or percentage charged', ': a sum paid or charged for a service ', ': a fee for the services of a lawyer paid upon successful completion of the services and usually calculated as a percentage of the gain obtained for the client', ': a fee charged for the filing of a document', ': a fee that is assessed in some courts as part of the cost of a civil jury trial', ': a fee charged by a lender for the preparation and processing of a loan', ': under title that creates a fee']","['ante', 'charge', 'cost', 'damage', 'figure', 'freight', 'price', 'price tag']"
110,forever,"[': for a limitless time', ': at all times : continually', ': a seemingly interminable time : excessively long', ': for an endless time : for all time', ': for a very long time', ': at all times : constantly', ': an extremely long time : a time that seems to last forever', ': for a limitless time', ': at all times']","['always', 'aye', 'ay', ""e'er"", 'eternally', 'ever', 'everlastingly', 'evermore', 'forevermore', 'indelibly', 'permanently', 'perpetually']"
111,guy,"[': man, fellow', ': person', ': individual, creature', ': a grotesque effigy of Guy Fawkes traditionally displayed and burned in England on Guy Fawkes Day', ': a person of grotesque appearance', ': a rope, chain, rod, or wire attached to something as a brace or guide', ': to steady or reinforce with a guy', ': to make fun of : ridicule', ': fellow entry 1 sense 1', ': person sense 1', ': a rope, chain, rod, or wire (', ') attached to something to steady it']","['baby', 'being', 'bird', 'bod', 'body', 'character', 'cookie', 'cooky', 'creature', 'customer', 'devil', 'duck', 'egg', 'face', 'fish', 'head', 'human', 'human being', 'individual', 'life', 'man', 'mortal', 'party', 'person', 'personage', 'scout', 'slob', 'sort', 'soul', 'specimen', 'stiff', 'thing', 'wight']"
112,lovely,"[': delightful for beauty, harmony, or grace : attractive', ': grand, swell', ': eliciting love by moral or ideal worth', ': lovable', ': a beautiful woman', ': a lovely object', ': attractive or beautiful especially in a graceful way', ': very good or likable', ': very pleasing : fine', ': a beautiful woman : a lovely woman', ': very attractive or beautiful', ': very pleasing']","['A-OK', 'A1', 'awesome', 'bang-up', 'banner', 'beautiful', 'blue-chip', 'blue-ribbon', 'boffo', 'bonny', 'bonnie', 'boss', 'brag', 'brave', 'bully', 'bumper', 'capital', 'choice', 'classic', 'cool', 'corking', 'crackerjack', 'cracking', 'dandy', 'divine', 'dope', 'down', 'dynamite', 'excellent', 'fab', 'fabulous', 'famous', 'fantabulous', 'fantastic', 'fine', 'first-class', 'first-rate', 'first-string', 'five-star', 'four-star', 'frontline', 'gangbusters', 'gangbuster', 'gilt-edged', 'gilt-edge', 'gone', 'grand', 'great', 'groovy', 'heavenly', 'high-class', 'hot', 'hype', 'immense', 'jim-dandy', 'keen', 'marvelous', 'marvellous', 'mean', 'neat', 'nifty', 'noble', 'number one', 'No. 1', 'numero uno', 'out-of-sight', 'par excellence', 'peachy', 'peachy keen', 'phat', 'prime', 'primo', 'prize', 'prizewinning', 'quality', 'radical', 'righteous', 'sensational', 'slick', 'splendid', 'stellar', 'sterling', 'superb', 'superior', 'superlative', 'supernal', 'swell', 'terrific', 'tip-top', 'top', 'top-notch', 'top-of-the-line', 'top-shelf', 'topflight', 'topping', 'unsurpassed', 'wizard', 'wonderful']"
113,mood,"[': a conscious state of mind or predominant emotion : feeling', ': the expression of mood especially in art or literature', ': a fit of anger : rage', ': a prevailing attitude', ': a receptive state of mind predisposing to action', ': a distinctive atmosphere or context : aura', ': the form of a syllogism as determined by the quantity and quality of its constituent propositions', ': distinction of form or a particular set of inflectional forms of a verb to express whether the action or state it denotes is conceived as fact or in some other manner (such as command, possibility, or wish)', ': mode sense 1b', "": a person's emotional state"", ': a set of forms of a verb that show whether the action or state expressed is to be thought of as a fact, a command, or a wish or possibility', ': a conscious state of mind or predominant emotion : affective state : feeling sense 3']", 
114,palace,"[': the official residence of a chief of state (such as a monarch or a president)', ': the official residence of an archbishop or bishop', ': a large stately house', ': a large public building', ': a highly decorated place for public amusement or refreshment', ': of or relating to a palace', ': of, relating to, or involving the intimates of a chief executive', ': luxurious, deluxe', ': the official home of a king, queen, president, etc.', ': a very large and impressive house : mansion', ': a large and fancy public building', ': of or relating to a palace', ': of, relating to, or involving people in the government', ': the home of a ruler', ': a large or splendid house']","['castle', 'château', 'estate', 'hacienda', 'hall', 'manor', 'manor house', 'manse', 'mansion', 'villa']"
115,permit,"[': to consent to expressly or formally', ': to give leave : authorize', ': to make possible', ': to give an opportunity : allow', ': a written warrant or license granted by one having authority', ': permission', ': either of two pompanos (Trachinotus falcatus and T. goodei) that are important game fishes of temperate to tropical waters of the western Atlantic', ': to allow (something) to happen : to give permission for (something)', ': to allow (someone) to do or have something', ': to make something possible', ': to allow to happen or do : give permission', ': to make possible : give an opportunity', ': a statement of permission (as a license or pass)', ': a written warrant or license granted by one having authority']","['allow', 'green-light', 'have', 'suffer']"
116,protest,"[': something said or done that shows disagreement with or disapproval of something', ': an event at which people gather together to show strong disapproval about something', ': a solemn declaration of opinion and usually of dissent: such as', ': a sworn declaration that payment of a note or bill has been refused and that all responsible signers or debtors are liable for resulting loss or damage', ': a declaration made especially before or while paying that a tax is illegal and that payment is not voluntary', ': the act of objecting or a gesture of disapproval', ': a usually organized public demonstration of disapproval', ': a complaint, objection, or display of unwillingness usually to an idea or a course of action', ': an objection made to an official or a governing body of a sport', ': to make solemn declaration or affirmation of', ': to execute or have executed a formal protest against (something, such as a bill or note)', ': to make a statement or gesture in objection to', ': to make a protestation', ': to make or enter a protest', ': to complain strongly about : object to', ': to declare positively : assert', ': a complaint or objection against an idea, an act, or a way of doing things', ': an event in which people gather to show disapproval of something', ' — see masculine protest', ': a solemn declaration of opinion and usually of disagreement: as', ': a solemn written declaration by a notary public or U.S. consul on behalf of the holder of an instrument (as a note) announcing dishonor and declaring the liability of all parties to the instrument for any loss or damage arising from such action', ': the action of making or causing to be made such a declaration with due service of notice of dishonor', ': a declaration made by the master of a ship before a notary, consul, or other authorized officer upon arrival in port after a disaster declaring that any loss was not the fault of the crew but due to the disaster', ': a declaration made by a party especially before or while paying a tax or performing a demanded act by which the declarer asserts that the justice or legality of the tax or act is disputed and that compliance is not voluntary', ': the act of objecting or a gesture of disapproval', ': a usually organized public demonstration of disapproval', ': with noted objections (as of insufficient payment) and claims']","['challenge', 'complaint', 'demur', 'demurral', 'demurrer', 'difficulty', 'exception', 'expostulation', 'fuss', 'kick', 'objection', 'question', 'remonstrance', 'stink']"
117,sculpture,"[': the action or art of processing (as by carving, modeling, or welding) plastic or hard materials into works of art', ': work produced by sculpture', ': a three-dimensional work of art (such as a statue)', ': impressed or raised markings or a pattern of such especially on a plant or animal part', ': to form an image or representation of from solid material (such as wood or stone)', ': to form into a three-dimensional work of art', "": to change (the form of the earth's surface) by natural processes (such as erosion and deposition)"", ': to shape by or as if by carving or molding', ': to work as a sculptor', ': a piece of art that is made by carving or molding clay, stone, metal, etc.', ': the process or art of carving or molding clay, stone, metal, etc., into a sculpture', ': the action or art of making statues by carving or chiseling (as in wood or stone), by modeling (as in clay), or by casting (as in melted metal)', ': a work of art produced by sculpture', ': to make (a work of art) by shaping (as stone, wood, or metal)']","['carve', 'sculpt']"
118,tribe,"[': a social group composed chiefly of numerous families, clans, or generations having a shared ancestry and language', ': a political division of the Roman people originally representing one of the three original tribes of ancient Rome', ': phyle', ': a group of persons having a common character, occupation, or interest', ': a category of taxonomic classification ranking below a subfamily', ': a natural group irrespective of taxonomic rank ', ': a group of people that includes many families and relatives who have the same language, customs, and beliefs', ': a large family', ': a group of people who have the same job or interest', ': a group of people including many families, clans, or generations', ': a group of people who are of the same kind or have the same occupation or interest', ': a category of taxonomic classification sometimes equivalent to or ranking just below a suborder but more commonly ranking below a subfamily']","['blood', 'clan', 'family', 'folks', 'house', 'kin', 'kindred', 'kinfolk', 'kinfolks', 'kinsfolk', 'line', 'lineage', 'people', 'race', 'stock']"
119,youth,"[': the time of life when one is young', ': the period between childhood and maturity', ': the early period of existence, growth, or development', ': a young person', ': a young male between adolescence and maturity', ': young persons or creatures', ': the quality or state of being youthful : youthfulness', ': the time of life when someone is young : the time when a young person has not yet become an adult', ': the time when something is new and not yet established', ': a teenage boy or young man', ': the time of life between being a child and an adult', ': a young man', ': young people', ': the quality or state of being young']","['boy', 'boychick', 'boychik', 'boyo', 'callant', 'lad', 'laddie', 'nipper', 'shaveling', 'shaver', 'sonny', 'stripling', 'tad']"
120,basis,"[': the bottom of something considered as its foundation', ': the principal component of something', ': something on which something else is established or based', ': an underlying condition or state of affairs', ': a fixed pattern or system', ': the basic principle', ': a set of linearly independent vectors (see vector entry 1 sense 1a) in a vector space such that any vector in the vector space can be expressed as a linear combination of them with appropriately chosen coefficients (see coefficient sense 1)', ': something (such as an idea or set of ideas) from which another thing develops or can develop', ': a reason for doing something', ': a fixed pattern or system for doing something', ': something on which another thing is based or established : foundation', ': any of various anatomical parts that function as a foundation', ': base sense 2b', ': something (as a principle or reason) on which something else is established', '  — see also rational basis', ': a basic principle or method', ': the principle or method by which taxable income is calculated ', ': a method of accounting in which income and expenses are recorded in the period when they are earned or incurred regardless of when the payment is received or made', ': a method of accounting in which income and expenses are recorded in the period when payment is received or made', ': the value (as cost or fair market value) of an asset used in calculating capital gains or losses for income tax purposes', ': the basis of an asset increased or decreased to reflect changes in value (as through improvement or depreciation)', ': the basis of a donated or transferred asset that is equal to the basis of the asset when it was in the hands of the donor or transferor', ': the basis of an asset equal to the amount paid for the asset plus other acquisition costs', "": the basis of inherited property equal to its market value at the decedent's date of death or to an alternate valuation"", ': the basis of property received in exchange for property of a like kind that is equal to the basis of the property given with adjustments for additional consideration received or gains and losses realized']","['base', 'bedrock', 'bottom', 'cornerstone', 'footing', 'foundation', 'ground', 'groundwork', 'keystone', 'root', 'underpinning', 'warp', 'warp and woof']"
121,biology,"[': a branch of knowledge that deals with living organisms and vital processes', ': the plant and animal life of a region or environment', ': the life processes especially of an organism or group', ': ecology', ': a science that deals with things that are alive (such as plants and animals)', ': the plant and animal life of a particular place', ': the processes that occur in a living thing', ': a science that deals with living things and their relationships, distribution, and behavior', ': a branch of science that deals with living organisms and vital processes', ': the plant and animal life of a region or environment', ': the laws and phenomena relating to an organism or group', ': a treatise on biology']", 
122,cage,"[': a box or enclosure having some openwork for confining or carrying animals (such as birds)', ': a barred cell for confining prisoners', ': a fenced area for prisoners of war', ': a framework serving as support', ': an enclosure resembling a cage in form or purpose', ': an arrangement of atoms or molecules so bonded as to enclose a space in which another atom or ion (as of a metal) can reside', ': batting cage', ': a goal consisting of posts or a frame with a net attached (as in ice hockey)', ': a large building containing an area for practicing outdoor sports and often adapted for indoor events', ': to confine or keep in or as if in a cage', ': to drive (a puck, a shot, etc.) into a cage and score a goal', 'John Milton 1912–1992 American composer', ': a box made of wire or metal bars in which people keep animals or birds', ': a box or enclosure that has large openings covered usually with wire net or bars and is used for keeping birds or animals', ': an enclosure like a cage in shape or purpose', ': to put or keep in or as if in a cage', ': an arrangement of atoms or molecules so bonded as to enclose a space in which another atom or ion (as of a metal) can reside']","['coop', 'corral', 'hutch', 'pen', 'pound']"
123,colleague,"[': a person who works with you : a fellow worker', ': an associate or coworker typically in a profession or in a civil or ecclesiastical office and often of similar rank or status : a fellow worker or professional', ': an associate in a profession : a fellow worker']","['associate', 'confrere', 'confrère', 'coworker']"
124,colony,"[': an area over which a foreign nation or state extends or maintains control', ': a group of people who establish residence in that area and who retain ties with the parent state ', ': a group of people who settle together in a new place', ': the land or buildings used by such a group ', ': a distinguishable localized population of a species or type of organism', ': a circumscribed mass of microorganisms usually growing in or on a solid medium', ': the aggregation of zooids of a compound animal (such as a coral or bryozoan)', ': a group of individuals or things with common characteristics or interests living in close association', ': the land or buildings used by such a group ', ': a group of persons institutionalized away from others', ': the land or buildings used by such a group', ': an area that is controlled by or belongs to a country and is usually far away from it', ': a group of people sent by a country to live in such a colony', ': a group of plants or animals living or growing in one place', ': a distant territory belonging to or under the control of a nation', ': a group of people sent out by a government to a new territory', ': a group of living things of one kind living together', ': a group of people with common qualities or interests located in close association', ': a circumscribed mass of microorganisms usually growing in or on a solid medium']",['plantation']
125,debate,"[': a discussion between people in which they express different opinions about something', ': a contention by words or arguments', ': such as', ': a regulated discussion of a proposition (see proposition entry 1 sense 1b) between two matched sides', ': the formal discussion of a motion (see motion entry 1 sense 3a) before a deliberative body according to the rules of parliamentary procedure', ': to argue about', ': to engage (an opponent) in debate', "": to turn over in one's mind : to think about (something, such as different options) in order to decide"", ': to participate in a debate', ': to contend in words', ': to discuss a question by considering opposed arguments', ': fight, contend', ': a discussion or argument carried on between two teams or sides', ': a discussion of issues', ': to discuss a question by giving arguments on both sides : take part in a debate', ': to consider reasons for and against : give serious and careful thought to']","['account', 'advisement', 'consideration', 'deliberation', 'reflection', 'study', 'thought']"
126,depart,"[': to go away : leave', ': die', ': to turn aside : deviate', ': to go away from : leave', ': to leave a place especially to start a journey', ': to leave a job or position', ': to change something or do something in a different way', ': to go away or go away from : leave', ': to turn away from', ': die entry 1 sense 1', ': to fail to follow : deviate from a course or standard']","['bail', 'bail out', 'begone', 'book', 'bug off', 'bug out', 'bugger off', 'buzz (off)', 'clear off', 'clear out', 'cut out', 'dig out', 'exit', 'get', 'get off', 'go', 'go off', 'move', 'pack (up or off)', 'part', 'peel off', 'pike (out or off)', 'pull out', 'push off', 'push on', 'quit', 'run along', 'sally (forth)', 'scarper', 'shove (off)', 'step (along)', 'take off', 'vamoose', 'walk out']"
127,depress,"[': repress, subjugate', ': to press down', ': to cause to sink to a lower position', ': to lessen the activity or strength of', ': sadden, discourage', ': to decrease the market value or marketability of', ': to make (someone) feel sad : to make (someone) depressed', ': to decrease the activity or strength of (something)', ': to press (something) down', ': to press down', ': to make sad or discouraged', ': to lessen the activity or strength of', ': to diminish the activity, strength, or yield of', ': to lower in spirit or mood']","['bum (out)', 'burden', 'dash', 'deject', 'get down', 'oppress', 'sadden', 'weigh down']"
128,factual,"[': of or relating to facts', ': restricted to or based on fact', ': limited to, involving, or based on facts', ': of or relating to facts', ': relating to or based on facts', ': of or relating to facts', ': restricted to or based on fact']","['documentary', 'hard', 'historical', 'literal', 'matter-of-fact', 'nonfictional', 'objective', 'true']"
129,fascinate,"[': to command the interest of : allure', ': to transfix (see transfix sense 1) and hold spellbound by an irresistible power', ': bewitch', ': to be irresistibly attractive', ': to cause (someone) to be very interested in something or someone', ': to seize and hold the attention of', ': to attract greatly']","['allure', 'beguile', 'bewitch', 'captivate', 'charm', 'enchant', 'kill', 'magnetize', 'wile', 'witch']"
130,mission,"[': a specific task with which a person or a group is charged', ': a definite military, naval, or aerospace task', ': a flight operation of an aircraft or spacecraft in the performance of a mission', ': a preestablished and often self-imposed objective or purpose', ': calling, vocation', ': a body of persons sent to perform a service or carry on an activity: such as', ': a group sent to a foreign country to conduct diplomatic or political negotiations', ': a permanent embassy or legation', ': a team of specialists or cultural leaders sent to a foreign country', ': a ministry commissioned by a religious organization to propagate (see propagate sense 3b) its faith or carry on humanitarian work', ': assignment to or work in a field of missionary enterprise', ': a mission establishment', ': a local church or parish dependent on a larger religious organization for direction or financial support', ': organized missionary work', ': a course of sermons and services given to convert the unchurched or quicken Christian faith', ': the act or an instance of sending', ': to send on or entrust with a mission', ': to carry on a religious mission among or in', ': of or relating to a style used in the early Spanish missions of the southwestern U.S.', ': of, relating to, or having the characteristic of a style of plain heavy usually oak furniture originating in the U.S. in the early part of the 20th century', 'city near the Rio Grande in southern Texas population 77,058', 'municipality on the Fraser River in southwestern British Columbia, Canada population 36,426', ': a task or job that someone is given to do', ': a specific military or naval task', ': a flight by an aircraft or spacecraft to perform a specific task', ': a task that is assigned or begun', ': a task that is regarded as a very important duty', ': a group of missionaries', ': a group of people sent by a government to represent it in a foreign country', ': a place where the work of missionaries is carried on']","['assignment', 'brief', 'business', 'charge', 'detail', 'job', 'operation', 'post']"
131,nevertheless,"[': in spite of that : however', ': in spite of what has just been said', ': even so : however']","['even so', 'howbeit', 'however', 'nonetheless', 'notwithstanding', 'still', 'still and all', 'though', 'withal', 'yet']"
132,occupation,"[': an activity in which one engages', "": the principal business of one's life : vocation"", ': the possession, use, or settlement of land : occupancy', ': the holding of an office or position', ': the act or process of taking possession of a place or area : seizure', ': the holding and control of an area by a foreign military force', ': the military force occupying a country or the policies carried out by it', "": the work that a person does : a person's job or profession"", ': an activity that a person spends time doing', ': the activity of living in or using a particular place', "": a person's business or profession"", ': the act of using or taking possession and control of a place']","['calling', 'employment', 'game', 'lay', 'line', 'profession', 'trade', 'vocation', 'work']"
133,overseas,"[': beyond or across the sea', ': of or relating to movement, transport, or communication over the sea', ': situated, originating in, or relating to lands beyond the sea', ': in or to a foreign country that is across a sea or ocean', ': to or in a foreign country that is across the sea', ': involving, occurring in, or intended for lands across the sea']", 
134,persuade,"[': to cause (someone) to do something by asking, arguing, or giving reasons', ': to cause (someone) to believe something : convince', ': to move by argument, entreaty, or expostulation to a belief, position, or course of action', ': to plead with : urge', ': to win over to a belief or way of acting : convince']","['argue', 'bring', 'bring around', 'convert', 'convince', 'gain', 'get', 'induce', 'move', 'prevail (on or upon)', 'satisfy', 'talk (into)', 'win (over)']"
135,route,"[': a traveled way : highway', ': a means of access : channel', ': a line of travel : course', ': an established or selected course of travel or action', ': an assigned territory to be systematically covered', ': to send by a selected route : direct', ': to divert in a specified direction', ': a way to get from one place to another place', ': a way that someone or something regularly travels along', ': a way of achieving or doing something', ': to send (someone or something) along a particular route', ': a regular, chosen, or assigned course of travel', ': to send or transport by a selected course', ': a method of transmitting a disease or of administering a remedy']","['arterial', 'artery', 'avenue', 'boulevard', 'carriageway', 'drag', 'drive', 'expressway', 'freeway', 'high road', 'highway', 'pass', 'pike', 'road', 'roadway', 'row', 'street', 'thoroughfare', 'thruway', 'trace', 'turnpike', 'way']"
136,ruins,"[': to damage irreparably', ': bankrupt, impoverish', ': to subject to frustration, failure, or disaster', ': to reduce to ruins : devastate', ': to become ruined', ': the state of being ruined', ': the remains of something destroyed', ': a ruined building, person, or object', ': the action of destroying, laying waste, or wrecking', ': damage, injury', ': physical, moral, economic, or social collapse', ': a falling down : collapse', ': a cause of destruction', ': to damage (something) so badly that it is no longer useful, valuable, enjoyable, etc. : to spoil or destroy (something)', ': to cause (someone) to lose money, social status, etc.', ': a state of complete destruction : a state of being ruined', ': the remaining pieces of something that was destroyed', ': the state of having lost money, social status, etc.', ': to reduce to wreckage', ': to damage beyond repair', ': to have a very bad effect on the quality of (something)', ': bankrupt entry 2', ': complete collapse or destruction', ': the remains of something destroyed', ': the situation in which someone experiences loss of money, social status, or position', ': nearly or completely destroyed']","['bankrupt', 'break', 'bust']"
137,scholar,"[': a person who has studied a subject for a long time and knows a lot about it : an intelligent and well-educated person who knows a particular subject very well', ': someone who has been given a scholarship', ': a person who attends a school or studies under a teacher : pupil', ': a person who has done advanced study in a special field', ': a learned person', ': a holder of a scholarship', ': a student in a school : pupil', ': a person who knows a great deal about one or more subjects : a learned person']","['pundit', 'sage', 'savant']"
138,significant,"[': large enough to be noticed or have an effect', ': very important', ': having a special or hidden meaning', ': having meaning', ': suggestive ', ': having or likely to have influence or effect : important', ': of a noticeably or measurably large amount ', ': probably caused by something other than mere chance', ': having a special or hidden meaning', ': important sense 1', ': large enough to be noticed', ': probably caused by something other than mere chance']","['eloquent', 'expressive', 'meaning', 'meaningful', 'pregnant', 'revealing', 'revelatory', 'suggestive']"
